Features selected,Binary representation,Error,Lookup value
"(0, 2, 4, 5)",1010110000,0.250788643533123,0.21078864353312302
"(0, 2, 4, 6)",1010101000,0.26638626007711186,0.22638626007711185
"(0, 2, 4, 7)",1010100100,0.26673676831405535,0.22673676831405534
"(0, 2, 4, 8)",1010100010,0.19908867858394674,0.15908867858394674
"(0, 2, 4, 9)",1010100001,0.24745881528215918,0.20745881528215918
"(0, 2, 5, 6)",1010011000,0.26603575184016826,0.22603575184016825
"(0, 2, 5, 7)",1010010100,0.26989134244654744,0.22989134244654744
"(0, 2, 5, 8)",1010010010,0.1957588503329828,0.15575885033298278
"(0, 2, 5, 9)",1010010001,0.2595513494567122,0.2195513494567122
"(0, 2, 6, 7)",1010001100,0.2676130389064143,0.2276130389064143
"(0, 2, 6, 8)",1010001010,0.19067648089730105,0.15067648089730104
"(0, 2, 6, 9)",1010001001,0.26323168594461965,0.22323168594461965
"(0, 2, 7, 8)",1010000110,0.1961093585699264,0.1561093585699264
"(0, 2, 7, 9)",1010000101,0.26954083420960395,0.22954083420960394
"(0, 2, 8, 9)",1010000011,0.1971608832807571,0.15716088328075709
"(0, 3, 4, 5)",1001110000,0.27444794952681384,0.23444794952681383
"(0, 3, 4, 6)",1001101000,0.26638626007711186,0.22638626007711185
"(0, 3, 4, 7)",1001100100,0.26708727655099895,0.22708727655099895
"(0, 3, 4, 8)",1001100010,0.20189274447949523,0.16189274447949523
"(0, 3, 4, 9)",1001100001,0.26638626007711186,0.22638626007711185
"(0, 3, 5, 6)",1001011000,0.26673676831405535,0.22673676831405534
"(0, 3, 5, 7)",1001010100,0.26708727655099895,0.22708727655099895
"(0, 3, 5, 8)",1001010010,0.20189274447949523,0.16189274447949523
"(0, 3, 5, 9)",1001010001,0.26621100595864,0.22621100595864
"(0, 3, 6, 7)",1001001100,0.26568524360322465,0.22568524360322464
"(0, 3, 6, 8)",1001001010,0.1971608832807571,0.15716088328075709
"(0, 3, 6, 9)",1001001001,0.263757448300035,0.223757448300035
"(0, 3, 7, 8)",1001000110,0.20259376095338244,0.16259376095338243
"(0, 3, 7, 9)",1001000101,0.26673676831405535,0.22673676831405534
"(0, 3, 8, 9)",1001000011,0.20539782684893093,0.16539782684893092
"(0, 4, 5, 6)",1000111000,0.26638626007711186,0.22638626007711185
"(0, 4, 5, 7)",1000110100,0.2672625306694707,0.2272625306694707
"(0, 4, 5, 8)",1000110010,0.20259376095338244,0.16259376095338243
"(0, 4, 5, 9)",1000110001,0.2672625306694707,0.2272625306694707
"(0, 4, 6, 7)",1000101100,0.26533473536628116,0.22533473536628115
"(0, 4, 6, 8)",1000101010,0.1978618997546442,0.15786189975464418
"(0, 4, 6, 9)",1000101001,0.2634069400630915,0.2234069400630915
"(0, 4, 7, 8)",1000100110,0.20329477742726954,0.16329477742726953
"(0, 4, 7, 9)",1000100101,0.26708727655099895,0.22708727655099895
"(0, 4, 8, 9)",1000100011,0.20609884332281814,0.16609884332281813
"(0, 5, 6, 7)",1000011100,0.2634069400630915,0.2234069400630915
"(0, 5, 6, 8)",1000011010,0.1971608832807571,0.15716088328075709
"(0, 5, 6, 9)",1000011001,0.26077812828601477,0.22077812828601476
"(0, 5, 7, 8)",1000010110,0.20224325271643884,0.16224325271643883
"(0, 5, 7, 9)",1000010101,0.2644584647739222,0.2244584647739222
"(0, 5, 8, 9)",1000010011,0.20522257273045919,0.16522257273045918
"(0, 6, 7, 8)",1000001110,0.1971608832807571,0.15716088328075709
"(0, 6, 7, 9)",1000001101,0.25972660357518407,0.21972660357518406
"(0, 6, 8, 9)",1000001011,0.2003154574132492,0.16031545741324918
"(0, 7, 8, 9)",1000000111,0.20574833508587453,0.16574833508587453
"(1, 2, 3, 4)",0111100000,0.24377847879425163,0.20377847879425162
"(1, 2, 3, 5)",0111010000,0.2429022082018928,0.20290220820189278
"(1, 2, 3, 6)",0111001000,0.2553452506133894,0.2153452506133894
"(1, 2, 3, 7)",0111000100,0.24518051174202593,0.20518051174202592
