Features selected,Binary representation,Error,Lookup value
"(0, 2, 3, 5, 7)",101101010,0.37209302325581395,0.32209302325581396
"(0, 2, 3, 5, 8)",101101001,0.37209302325581395,0.32209302325581396
"(0, 2, 3, 6, 7)",101100110,0.37209302325581395,0.32209302325581396
"(0, 2, 3, 6, 8)",101100101,0.3023255813953488,0.25232558139534883
"(0, 2, 3, 7, 8)",101100011,0.37209302325581395,0.32209302325581396
"(0, 2, 4, 5, 6)",101011100,0.34883720930232553,0.29883720930232555
"(0, 2, 4, 5, 7)",101011010,0.3023255813953488,0.25232558139534883
"(0, 2, 4, 5, 8)",101011001,0.32558139534883723,0.27558139534883724
"(0, 2, 4, 6, 7)",101010110,0.2325581395348837,0.1825581395348837
"(0, 2, 4, 6, 8)",101010101,0.3023255813953488,0.25232558139534883
"(0, 2, 4, 7, 8)",101010011,0.2325581395348837,0.1825581395348837
"(0, 2, 5, 6, 7)",101001110,0.3023255813953488,0.25232558139534883
"(0, 2, 5, 6, 8)",101001101,0.34883720930232553,0.29883720930232555
"(0, 2, 5, 7, 8)",101001011,0.3023255813953488,0.25232558139534883
"(0, 2, 6, 7, 8)",101000111,0.2325581395348837,0.1825581395348837
"(0, 3, 4, 5, 6)",100111100,0.2558139534883721,0.20581395348837211
"(0, 3, 4, 5, 7)",100111010,0.34883720930232553,0.29883720930232555
"(0, 3, 4, 5, 8)",100111001,0.34883720930232553,0.29883720930232555
"(0, 3, 4, 6, 7)",100110110,0.2558139534883721,0.20581395348837211
"(0, 3, 4, 6, 8)",100110101,0.2325581395348837,0.1825581395348837
"(0, 3, 4, 7, 8)",100110011,0.34883720930232553,0.29883720930232555
"(0, 3, 5, 6, 7)",100101110,0.2558139534883721,0.20581395348837211
"(0, 3, 5, 6, 8)",100101101,0.2558139534883721,0.20581395348837211
"(0, 3, 5, 7, 8)",100101011,0.34883720930232553,0.29883720930232555
"(0, 3, 6, 7, 8)",100100111,0.2558139534883721,0.20581395348837211
"(0, 4, 5, 6, 7)",100011110,0.39534883720930236,0.3453488372093024
"(0, 4, 5, 6, 8)",100011101,0.39534883720930236,0.3453488372093024
"(0, 4, 5, 7, 8)",100011011,0.4418604651162791,0.3918604651162791
"(0, 4, 6, 7, 8)",100010111,0.39534883720930236,0.3453488372093024
"(0, 5, 6, 7, 8)",100001111,0.39534883720930236,0.3453488372093024
"(1, 2, 3, 4, 5)",011111000,0.37209302325581395,0.32209302325581396
"(1, 2, 3, 4, 6)",011110100,0.34883720930232553,0.29883720930232555
"(1, 2, 3, 4, 7)",011110010,0.37209302325581395,0.32209302325581396
"(1, 2, 3, 4, 8)",011110001,0.37209302325581395,0.32209302325581396
"(1, 2, 3, 5, 6)",011101100,0.34883720930232553,0.29883720930232555
"(1, 2, 3, 5, 7)",011101010,0.37209302325581395,0.32209302325581396
"(1, 2, 3, 5, 8)",011101001,0.37209302325581395,0.32209302325581396
"(1, 2, 3, 6, 7)",011100110,0.37209302325581395,0.32209302325581396
"(1, 2, 3, 6, 8)",011100101,0.34883720930232553,0.29883720930232555
"(1, 2, 3, 7, 8)",011100011,0.37209302325581395,0.32209302325581396
